시군명,인허가일자,사업장명,인허가취소일자,통합영업상태명,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지시설전화번호,소재지면적,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,위생업태명,건물지상층수,건물지하층수,사용시작지상층수,사용끝지상층수,사용시작지하층수,사용끝지하층수,한실수,양실수,욕실수,발한실여부,의자수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
가평군,20001101,백광세탁빨래방,,영업/정상,영업,,,,,031 5825972,82.50,경기도 가평군 가평읍 달전로 45,경기도 가평군 가평읍 달전리 338-2번지 ,12422,37.8143748,127.5184121,일반세탁업,245584.623322355    ,479226.609846914    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19981106,백양사,,영업/정상,영업,,,,,031 5856611,16.90,경기도 가평군 설악면 신천중앙로 127,경기도 가평군 설악면 신천리 453-4번지 ,12467,37.6778949,127.4898300,일반세탁업,243147.146396659    ,464064.809887219    ,일반세탁업,,,,1,,,,,,N,,,,,,,,,,,N
가평군,19990824,빨래랜드,,폐업,폐업,20031013,,,,031 5859493,.00,경기도 가평군 조종면 조종새싹로 14 (현리),경기도 가평군 조종면 현리 274-16번지 ,12437,37.8200676,127.3486817,일반세탁업,230635.448662081    ,479788.090387107    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19941109,성수세탁소,,폐업,폐업,20030519,,,,031 5822126,28.00,경기도 가평군 가평읍 가화로 110-1 (읍내리),경기도 가평군 가평읍 읍내리 474-3번지 ,12419,37.8295651,127.5141560,일반세탁업,245200.884087078    ,480909.688181051    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19920312,세탁나라,,폐업,폐업,20201125,,,,031 5817776,27.25,경기도 가평군 가평읍 가화로 103-1,경기도 가평군 가평읍 읍내리 476-9 ,12418,37.8289498427,127.5137839871,일반세탁업,245161.409382566    ,480835.976978994    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,20110929,손빨래방,,영업/정상,영업,,,,,031 5812499,6.84,경기도 가평군 가평읍 보납로 35 ([한국통신 2층 직원휴게실내]),경기도 가평군 가평읍 읍내리 426-10번지 [한국통신 2층 직원휴게실내] ,12412,37.8313480,127.5143841,세탁업 기타,245220.480850135    ,481107.59347227     ,세탁업 기타,3,1,2,2,,,0,0,0,N,0,,,,임대,2,,,0,0,N
가평군,19930511,시민세탁소,,영업/정상,영업,,,,,,17.59,경기도 가평군 가평읍 연인2길 22,경기도 가평군 가평읍 읍내리 492-16번지 ,12418,37.8297313,127.5111584,일반세탁업,244946.240750803    ,480931.661013929    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,20180510,시민코인빨래방,,폐업,폐업,20191108,,,,,24.00,경기도 가평군 가평읍 연인2길 22,경기도 가평군 가평읍 읍내리 489-3번지 ,12418,37.8297313135,127.5111584495,빨래방업,244936.163288125    ,480928.775371157    ,빨래방업,1,0,1,1,0,0,0,0,0,N,0,,,,자가,2,1,0,0,0,N
가평군,19920603,신영세탁소,,폐업,폐업,20040224,,,,,21.35,경기도 가평군 가평읍 오리나무길 15 (대곡리),경기도 가평군 가평읍 대곡리 239-1번지 ,12420,37.8261502,127.5142460,일반세탁업,245211.479558265    ,480530.78182836     ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,20210308,신진세탁기업,,영업/정상,영업,,,,,,495.00,"경기도 가평군 가평읍 태봉두밀로 2-29, 1층","경기도 가평군 가평읍 상색리 169-14 ,1층 ",12426,37.8035507117,127.4863571133,일반세탁업,242744.827598991    ,477997.300086114    ,일반세탁업,1,1,1,1,,,0,0,0,N,0,,,,,2,0,0,0,0,N
가평군,19940509,에이스크리닝,,영업/정상,영업,,,,,031 5825070,25.08,경기도 가평군 가평읍 보납로 10,경기도 가평군 가평읍 읍내리 495-3번지 ,12418,37.8309823,127.5114396,일반세탁업,244959.66503747     ,481064.779234986    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19980407,인정세탁소,,영업/정상,영업,,,,,031 5817090,37.80,경기도 가평군 청평면 경춘로 1458,경기도 가평군 청평면 상천리 258번지 ,12449,37.7792350,127.4648859,일반세탁업,240892.200448761    ,475301.56596154     ,일반세탁업,0,0,0,1,0,0,0,0,0,N,0,,,,,0,,,0,0,N
가평군,19870515,제일세탁소,,폐업,폐업,20190904,,,,031 5850217,14.28,,경기도 가평군 조종면 현리 264번지 ,12437,,,일반세탁업,,,일반세탁업,,,,1,,,,,,N,,,,,,,,,,,N
가평군,19930727,조은사세탁소,,폐업,폐업,20190225,,,,031 5850207,19.27,경기도 가평군 조종면 현창로38번길 20,경기도 가평군 조종면 현리 262-45번지 ,12437,37.8197055,127.3492933,일반세탁업,230691.284598611    ,479748.827467473    ,일반세탁업,,,,1,,,,,,N,,,,,,,,,,,N
가평군,19940527,조은세탁소,,폐업,폐업,20100827,,,,031 5827559,.00,,경기도 가평군 가평읍 읍내리 613-1번지 ,12414,37.8330635,127.5093524,일반세탁업,244775.161409714    ,481295.722446835    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19870518,조종세탁소,,영업/정상,영업,,,,,031 5852401,15.20,,경기도 가평군 조종면 현리 264번지 ,12437,,,일반세탁업,,,일반세탁업,,,,1,,,,,,N,,,,,,,,,,,N
가평군,20111021,좋은세탁소,,폐업,폐업,20131008,,,,031 5855947,21.00,경기도 가평군 청평면 시장중앙로 7-37,경기도 가평군 청평면 청평리 79-3번지 ,12453,37.7347405,127.4180068,일반세탁업,236781.577955588    ,470344.625199018    ,일반세탁업,2,0,1,1,,,0,0,0,N,0,,,,임대,1,,,1,0,N
가평군,20080220,중앙빨래방,,폐업,폐업,20100317,,,,,27.75,경기도 가평군 가평읍 석봉로 134 (읍내리),경기도 가평군 가평읍 읍내리 332-4번지 ,12418,37.8269803,127.5118892,일반세탁업,245002.259751128    ,480621.175309679    ,일반세탁업,2,0,1,1,,,0,0,0,,0,,,,임대,3,,,,,N
가평군,19940502,중앙세탁소,,폐업,폐업,20070315,,,,031 5827422,27.75,경기도 가평군 가평읍 석봉로 134 (읍내리),경기도 가평군 가평읍 읍내리 332-4번지 ,12418,37.8269803,127.5118892,일반세탁업,245002.259751128    ,480621.175309679    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19990804,청구컴퓨터크리링,,영업/정상,영업,,,,,031 5853936,46.80,경기도 가평군 청평면 경춘로 807-18 (청구아파트상가 303호),경기도 가평군 청평면 청평리 470-13번지 청구아파트상가 303호 ,12451,37.7384368,127.4173127,일반세탁업,236737.586196265    ,470680.107776233    ,일반세탁업,,,,1,,,,,,N,,,,,,,,,,,N
가평군,20040709,청마을세탁,,폐업,폐업,20210719,,,,031 5854045,21.00,경기도 가평군 청평면 청평중앙로 52 (외2필지),경기도 가평군 청평면 청평리 432-10 외2필지 ,,37.7377689283,127.4202246795,일반세탁업,236973.844222934    ,470681.78812466     ,일반세탁업,3,0,1,0,0,0,0,0,0,N,0,,,,임대,0,0,0,0,0,N
가평군,20020731,청용세탁소,,영업/정상,영업,,,,,031 5845072,52.52,"경기도 가평군 설악면 신천중앙로 126-7, 나동 1층",경기도 가평군 설악면 신천리 450-3번지 나동 1층 ,12465,37.6782200,127.4896394,일반세탁업,243129.965466657    ,464101.747227756    ,일반세탁업,1,,1,1,,,,,,N,,,,,,,,,,,N
가평군,20180104,크린토피아(가평점),,폐업,폐업,20191108,,,,,53.23,"경기도 가평군 가평읍 석봉로 207-1, 101호",경기도 가평군 가평읍 읍내리 615번지 101호,12414,37.8333169628,127.5090815630,일반세탁업,244750.442425203    ,481322.812849582    ,일반세탁업,2,0,1,1,0,0,0,0,0,N,0,,,,자가,3,1,0,0,0,N
가평군,20090507,하우스크리닝,,폐업,폐업,20101122,,,,,26.10,경기도 가평군 조종면 조종새싹로 48 (현리),경기도 가평군 조종면 현리 231-1번지 ,12437,37.8229496,127.3490359,일반세탁업,230665.827331505    ,480108.28511492     ,일반세탁업,1,0,,,,,0,0,0,N,0,,,,임대,4,,,1,0,N
가평군,19920603,하이크리닝,,폐업,폐업,20071122,,,,031 5820098,35.25,경기도 가평군 가평읍 굴다리길 2 (대곡리),경기도 가평군 가평읍 대곡리 232-1번지 ,12420,37.8262106,127.5148598,일반세탁업,245263.585171417    ,480536.077150398    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,20080123,한마음세탁마을,,영업/정상,영업,,,,,031 582 5556,36.72,"경기도 가평군 가평읍 석봉로 209, 104동 (외1필지 준수상가)",경기도 가평군 가평읍 읍내리 637-6번지 외1필지 준수상가 104동 ,12414,37.8337309,127.5091866,일반세탁업,244761.403866509    ,481369.982042247    ,일반세탁업,1,0,1,1,0,0,0,0,0,N,0,,,,임대,2,,,,,N
가평군,19981116,현대세탁,,영업/정상,영업,,,,,031 5811031,24.75,경기도 가평군 가평읍 가화로 143,경기도 가평군 가평읍 읍내리 618-5번지 ,12413,37.8321517,127.5118793,일반세탁업,244998.350432937    ,481195.145791372    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,20120614,현대세탁소,,폐업,폐업,20160831,,,,031 585 6006,17.86,경기도 가평군 청평면 강변나루로40번길 40,경기도 가평군 청평면 청평리 631-13번지 ,12454,37.7316366,127.4141780,일반세탁업,236446.363577397    ,469996.185033391    ,일반세탁업,4,0,1,1,,,0,0,0,N,0,,,,임대,1,,,1,0,N
가평군,19920603,혜림세탁소,,폐업,폐업,20040316,,,,,24.79,경기도 가평군 가평읍 굴다리길 11 (대곡리),경기도 가평군 가평읍 대곡리 240-1번지 ,12420,37.8258468,127.5135738,일반세탁업,245152.401645465    ,480497.207012433    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
가평군,19870518,희망세탁소,,영업/정상,영업,,,,,031 584 1589,16.50,경기도 가평군 청평면 청평중앙로 18,경기도 가평군 청평면 청평리 434-37번지 ,12453,37.7361319,127.4168915,일반세탁업,236684.587869139    ,470496.96732362     ,일반세탁업,,,,1,,,,,,N,,,,,,,,,,,N
고양시,20060605,(사) 지장협 재활 자립장 ,,폐업,폐업,20180314,,,,031 9220292,223.80,"경기도 고양시 일산서구 송산로174번길 13-1 (구산동,외 1필지 (1층))",경기도 고양시 일산서구 구산동 627-15번지 외 1필지 (1층) ,10202,37.6829606,126.6994944,일반세탁업,173427.998065524    ,464557.094092947    ,일반세탁업,2,1,1,1,0,0,0,0,0,N,0,,,,임대,3,,,0,0,N
고양시,20080619,(주)뉴덕흥기업,,영업/정상,영업,,,,,031 9640898,"1,431.00",경기도 고양시 일산동구 공릉천로 126 (사리현동),경기도 고양시 일산동구 사리현동 267-4번지 ,10261,37.7033484,126.8471209,일반세탁업,186453.762980586    ,466789.029523255    ,일반세탁업,0,0,0,0,0,0,0,0,0,N,0,,,,,8,,,,,N
고양시,20200824,(주)시니어파트너스,,영업/정상,영업,,,,,,132.00,"경기도 고양시 덕양구 통일로 140, 삼송테크노밸리 A동 2층 239호 (동산동)",경기도 고양시 덕양구 동산동 376 삼송테크노밸리 A동 239호,10594,37.6490702916,126.9019008596,일반세탁업,191287.508236468    ,460746.546568849    ,일반세탁업,2,0,0,0,0,0,0,0,0,N,0,,,,,4,0,0,8,0,N
고양시,20141023,(주)춘파,,폐업,폐업,20161206,,,,,85.98,"경기도 고양시 일산동구 공릉천로 88, 1층 전부호 (사리현동)",경기도 고양시 일산동구 사리현동 188-19번지 1층 전부호 ,10261,37.7007890,126.8466500,일반세탁업,186411.635752264    ,466505.404708829    ,일반세탁업,2,0,1,1,,,0,0,0,N,0,,,,,1,0,0,0,0,N
고양시,20021119,119운동화박사,,폐업,폐업,20161020,,,,031 9750388,33.00,"경기도 고양시 일산서구 원일로 85-1 (일산동,번지)",경기도 고양시 일산서구 일산동 594-18번지 번지 ,10342,37.6859892,126.7716530,일반세탁업,179793.494392912    ,464876.260145384    ,일반세탁업,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,0,0,N
고양시,20161019,119운동화빨래방,,폐업,폐업,20191108,,,,031 968 4991,40.52,"경기도 고양시 덕양구 통일로802번길 82, 1(일부)층 (관산동)",경기도 고양시 덕양구 관산동 1009번지 외1필지 1층일부 ,10286,37.6909019828,126.8655027380,빨래방업,188073.09120446     ,465405.798805279    ,빨래방업,0,0,,,,,0,0,0,N,0,,,,,2,0,0,0,0,N
고양시,19970604,21세기세탁소,,폐업,폐업,20180704,,,,031 9625696,26.95,"경기도 고양시 덕양구 동헌로 398-12, 202호 (고양동, 윤창APT 상가동)",경기도 고양시 덕양구 고양동 415-1번지 윤창APT 상가동 202호,10273,37.7060691,126.8953103,일반세탁업,190703.499087693    ,467085.818554621    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,20070112,24시간무인빨래방셀피아,,폐업,폐업,20141106,,,,031 9143653,30.07,"경기도 고양시 일산서구 현중로36번길 31 (탄현동,성호프라자 103호)",경기도 고양시 일산서구 탄현동 1490번지 성호프라자 103호 ,10244,37.6944001,126.7695974,일반세탁업,179614.830872438    ,465810.436078604    ,일반세탁업,3,1,1,1,,,,,,N,,,,,임대,3,,,,,N
고양시,19960713,8단지한마음세탁소,,영업/정상,영업,,,,,031 9778497,20.34,"경기도 고양시 일산동구 탄중로 398, 중산마을상가동 109호 (중산동)",경기도 고양시 일산동구 중산동 1574번지 중산마을상가동 109호,10333,37.6890190,126.7824369,일반세탁업,180681.679281685    ,465208.398948262    ,일반세탁업,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,1,0,N
고양시,19990714,AToZ크리닝,,폐업,폐업,20060208,,,,031 9146088,95.16,경기도 고양시 일산서구 후곡로 32 번지 후곡마을4단지 상가동 지1호 (일산동),경기도 고양시 일산서구 일산동 1066번지 번지 후곡마을4단지 상가동 지1호 ,10374,37.6797700,126.7658230,일반세탁업,179278.778672832    ,464187.034822545    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
고양시,19940118,VIP 세탁소,,폐업,폐업,20060428,,,,031 9723663,34.96,경기도 고양시 덕양구 지도로125번길 9-10 (토당동),경기도 고양시 덕양구 토당동 834-6번지 ,10507,37.6275506,126.8222328,일반세탁업,184241.859547859    ,458379.55041254     ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,20120307,e-편한세탁소,,영업/정상,영업,,,,,031 965 1006,32.30,"경기도 고양시 덕양구 호국로 859 (성사동, 원당 e편한세상 상가 나동 101호)",경기도 고양시 덕양구 성사동 869 원당 e편한세상 상가 나동 101호 ,10294,37.6613970694,126.8403966598,일반세탁업,185784.217497976    ,462086.921242864    ,일반세탁업,1,0,1,1,,,0,0,0,N,0,,,,임대,3,,,0,0,N
고양시,19870612,가람세탁,,영업/정상,영업,,,,,031 974 0073,22.05,경기도 고양시 덕양구 행신로 287-1 (행신동),경기도 고양시 덕양구 행신동 235-5 ,10492,37.6209077737,126.8449699148,일반세탁업,186243.208594174    ,457628.797152609    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,20070914,가좌세탁소,,영업/정상,영업,,,,,031 925 7171,21.50,"경기도 고양시 일산서구 가좌1로 8 (가좌동, 가좌마을5단지상가 지하101호)",경기도 고양시 일산서구 가좌동 1087 가좌마을5단지상가 지하101호 ,10211,37.6908516786,126.7219955870,일반세탁업,175290.560384174    ,465441.156548809    ,일반세탁업,3,1,0,0,1,1,0,0,0,,0,,,,자가,2,,,,,N
고양시,20030226,갑두세탁소,,폐업,폐업,20090209,,,,031 9736662,50.00,경기도 고양시 덕양구 용현로53번길 16-3 (행신동),경기도 고양시 덕양구 행신동 741-15번지 ,10525,37.6177485,126.8347384,일반세탁업,185343.505          ,457289.36           ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,19940520,강선세탁소,,폐업,폐업,20161020,,,,031 9120047,18.90,"경기도 고양시 일산서구 강선로 67, 201호 (주엽동, 강선마을7단지 상가동)",경기도 고양시 일산서구 주엽동 65번지 강선마을7단지 상가동 201호,10388,37.6710441,126.7635951,일반세탁업,179079.448172157    ,463218.47960706     ,일반세탁업,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,0,0,N
고양시,19970313,강촌세탁소,,영업/정상,영업,,,,,031 9062080,19.63,"경기도 고양시 일산동구 강석로 110, 분산상가동 104호 (마두동, 강촌마을)",경기도 고양시 일산동구 마두동 789번지 강촌마을 분산상가동 104호,10415,37.6511039,126.7810759,일반세탁업,180616.226680491    ,461000.693889075    ,일반세탁업,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,1,0,N
고양시,19980226,개미세탁,,폐업,폐업,19990720,,,,031 9215576,25.50,,경기도 고양시 일산서구 일산동 1244-3번지 번지 ,,,,일반세탁업,,,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
고양시,20051020,건영 세탁소,,영업/정상,영업,,,,,031 9159115,19.61,"경기도 고양시 일산서구 홀트로 57, 102호 (탄현동, 탄현마을4단지 상가동)",경기도 고양시 일산서구 탄현동 1481번지 탄현마을4단지 상가동 102호,10240,37.6952656,126.7698781,일반세탁업,179638.718967962    ,465905.275568017    ,일반세탁업,3,1,1,1,,,,,,N,,,,,임대,,,,,,N
고양시,20040107,건영세탁,,영업/정상,영업,,,,,031 9258808,25.11,"경기도 고양시 일산서구 원일로21번길 22 (일산동, 휴먼빌1차아파트 상가동 2층일부(204호))",경기도 고양시 일산서구 일산동 1655 휴먼빌1차아파트 상가동 2층일부(204호) ,10348,37.6874910872,126.7672271928,일반세탁업,179304.349538261    ,465078.344030254    ,일반세탁업,2,,2,,,,,,,N,,,,,임대,,,,,,N
고양시,20091209,건영세탁,,폐업,폐업,20200724,,,,031 914 7520,27.69,"경기도 고양시 일산서구 일산로636번길 49 (대화동,1층 일부)",경기도 고양시 일산서구 대화동 2012-5 1층 일부 ,10369,37.6838666807,126.7598344200,일반세탁업,178747.568817743    ,464633.098944044    ,일반세탁업,3,1,1,1,,,0,0,0,N,0,,,,임대,1,,,1,,N
고양시,19960719,건영세탁,,폐업,폐업,20030429,,,,031 9736803,27.00,"경기도 고양시 덕양구 화신로 295 상가 202호 (화정동,별빛마을10단지아파트)",경기도 고양시 덕양구 화정동 951번지 별빛마을 건영상가 202호 ,10502,37.6298842,126.8282312,일반세탁업,184772.223964782    ,458638.976326253    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,19971224,건영세탁,,폐업,폐업,20130729,,,,031 9797167,20.80,,경기도 고양시 덕양구 행신동 958번지 ,10492,37.6213618,126.8415153,일반세탁업,185943.868126251    ,457688.920197164    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,19950629,건영세탁소,,폐업,폐업,20050804,,,,031 9147520,26.88,경기도 고양시 일산서구 일산로636번길 49 (대화동),경기도 고양시 일산서구 대화동 2012-5번지 번지 ,10369,37.6837670,126.7597905,일반세탁업,178747.568817743    ,464633.098944044    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
고양시,20010904,건영세탁소,,폐업,폐업,20020518,,,,031 9159115,20.80,"경기도 고양시 일산서구 홀트로 57 상가 102호 (탄현동,탄현마을4단지아파트)",경기도 고양시 일산서구 탄현동 1481번지 번지 탄현마을상가 102호 ,10240,37.6952656,126.7698781,일반세탁업,179638.718967962    ,465905.275568017    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
고양시,20030429,건영세탁소,,영업/정상,영업,,,,,031 9736803,27.82,경기도 고양시 덕양구 화신로 295,경기도 고양시 덕양구 화정동 951 별빛마을 건영상가동 202호 ,10502,37.6310001406,126.8284823148,일반세탁업,184772.223964782    ,458638.976326253    ,일반세탁업,2,1,2,2,0,0,0,0,0,N,0,,,,,0,,,0,0,N
고양시,20030527,건영세탁소,,영업/정상,영업,,,,,031 917 6090,31.40,"경기도 고양시 일산서구 일산로 806, 108호 (대화동, 장성마을3단지 상가동)",경기도 고양시 일산서구 대화동 2234 장성마을3단지 상가동 108호,10382,37.6723920181,126.7468854681,일반세탁업,177527.638517505    ,463374.527149077    ,일반세탁업,1,1,0,1,0,0,0,0,0,N,0,,,,임대,2,,,,,N
고양시,20090219,건영세탁소,,폐업,폐업,20161020,,,,031 916 8482,23.01,"경기도 고양시 일산서구 현중로 71 (탄현동, 탄현마을5단지상가동 지03호)",경기도 고양시 일산서구 탄현동 1477번지 탄현마을5단지상가동 지03호 ,10243,37.6960149,126.7661227,일반세탁업,179310.163694209    ,465988.692772442    ,일반세탁업,2,1,0,0,1,1,0,0,0,N,0,,,,임대,2,,,1,0,N
고양시,19950619,건영세탁소,,폐업,폐업,19970925,,,,031 9118604,20.36,경기도 고양시 일산동구 대산로11번길 95 번지 (정발산동),경기도 고양시 일산동구 정발산동 719번지 번지 ,10362,37.6661314,126.7714086,일반세탁업,179765.657544269    ,462670.841738081    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
고양시,20010820,건영세탁소,,폐업,폐업,20071218,,,,031 9168482,24.00,"경기도 고양시 일산서구 현중로 71 상가 지하 3호 (탄현동,탄현마을5단지아파트)",경기도 고양시 일산서구 탄현동 1477번지 번지 탄현상가지하3호 ,10243,37.6960149,126.7661227,일반세탁업,179310.163694209    ,465988.692772442    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N
고양시,19980122,건영세탁소,,영업/정상,영업,,,,,031 9118604,22.12,경기도 고양시 일산동구 무궁화로75번길 32 (정발산동),경기도 고양시 일산동구 정발산동 718-6번지 ,10362,37.6664096,126.7708524,일반세탁업,179717.027858614    ,462703.645426031    ,일반세탁업,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,1,0,N
고양시,19960621,건영세탁소,,영업/정상,영업,,,,,031 9150281,22.37,"경기도 고양시 일산서구 강선로 167, 205호 (일산동, 후곡마을15단지 상가동)",경기도 고양시 일산서구 일산동 1077 후곡마을15단지 상가동 205호,10374,37.6780096850,126.7702122188,일반세탁업,179556.58346521     ,464033.720563269    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,20161108,경기산업크리닝,,영업/정상,영업,,,,,,192.00,"경기도 고양시 덕양구 내유길 106, 1층 (내유동, 가동)",경기도 고양시 덕양구 내유동 62-10번지 가동 1층 ,10264,37.7217620581,126.8597518702,일반세탁업,187572.341371699    ,468830.016733362    ,일반세탁업,0,0,,,,,0,0,0,N,0,,,,,3,0,0,3,0,N
고양시,19970304,경남동신세탁소,,영업/정상,영업,,,,,031 9766872,25.34,"경기도 고양시 일산동구 탄중로 426, 상가동 B102호 (중산동, 중산마을)",경기도 고양시 일산동구 중산동 1566번지 중산마을 상가동 B102호,10337,37.6885967,126.7782319,일반세탁업,180374.093926973    ,465163.657746474    ,일반세탁업,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,1,0,N
고양시,19941229,경남세탁소,,영업/정상,영업,,,,,031 9150959,27.61,"경기도 고양시 일산서구 강선로 118, 207호 (주엽동, 강선마을2단지 상가동)",경기도 고양시 일산서구 주엽동 38 강선마을2단지 상가동 207호,10360,37.6738955023,126.7680866525,일반세탁업,179556.402670135    ,463478.685357136    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
고양시,19890303,경진컴퓨터크리닝,,폐업,폐업,20071008,,,,031 9639407,24.50,경기도 고양시 덕양구 마상로154번길 14 (성사동),경기도 고양시 덕양구 성사동 500-19번지 ,10463,37.6580997,126.8388406,일반세탁업,185716.216880659    ,461768.194312962    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N
